trainer_id,total_rides,horse_age,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
trn_332928,0,2,99,5,10,6,7,0.53,0.05,-71.89
trn_332928,0,6,55,7,4,3,7,1.32,0.13,14.5
trn_332928,0,7,31,3,5,3,1,0.74,0.1,-12.5
trn_332928,0,8,16,0,2,5,1,0.0,0.0,-16.0
trn_87426,0,4,3351,294,354,299,293,0.79,0.09,-1231.47
trn_87426,0,5,3092,313,282,324,302,0.89,0.1,-753.88
trn_87426,0,6,2429,215,266,271,258,0.78,0.09,-737.42
trn_87426,0,3,2327,176,201,188,249,0.8,0.08,-640.72
trn_87426,0,7,1753,154,182,190,178,0.79,0.09,-602.27
trn_87426,0,8,1339,132,138,148,141,0.9,0.1,-227.09
trn_87426,0,9,878,78,93,88,96,0.87,0.09,-228.95
trn_87426,0,2,648,19,44,44,51,0.51,0.03,-430.2
trn_87426,0,10,569,48,76,70,73,0.77,0.08,-166.88
trn_87426,0,11,296,24,38,33,27,0.83,0.08,-44.0
trn_87426,0,12,114,15,15,16,13,1.18,0.13,19.5
trn_87426,0,13,26,1,7,1,3,0.3,0.04,-23.5
trn_87426,0,14,7,0,1,0,1,0.0,0.0,-7.0
trn_87426,0,15,3,0,0,1,0,0.0,0.0,-3.0
trn_112185,0,5,2665,327,297,252,238,0.93,0.12,-565.29
trn_112185,0,4,2542,252,245,255,254,0.82,0.1,-786.78
trn_112185,0,6,2398,330,271,242,248,0.97,0.14,-90.69
trn_112185,0,7,1745,234,221,203,180,0.93,0.13,-154.78
trn_112185,0,3,1557,148,173,158,188,0.78,0.1,-610.89
trn_112185,0,8,1132,131,137,116,99,0.84,0.12,-315.43
trn_112185,0,9,759,85,63,95,70,0.87,0.11,-173.88
trn_112185,0,10,435,58,52,50,41,1.0,0.13,-80.96
trn_112185,0,2,250,8,16,23,32,0.42,0.03,-170.17
trn_112185,0,11,200,24,20,28,28,0.87,0.12,-45.09
trn_112185,0,12,75,7,11,9,4,0.66,0.09,-50.85
trn_112185,0,13,3,0,0,0,0,0.0,0.0,-3.0
trn_112185,0,14,3,0,0,0,2,0.0,0.0,-3.0
trn_193644,0,4,1235,141,132,127,119,0.89,0.11,-308.7
trn_193644,0,3,1049,83,97,119,108,0.77,0.08,-346.18
trn_193644,0,5,960,106,120,122,113,0.83,0.11,-247.97
trn_193644,0,6,795,107,110,76,93,1.02,0.13,69.85
trn_193644,0,7,483,54,51,60,57,0.84,0.11,-152.11
trn_193644,0,2,440,28,36,37,54,0.8,0.06,-128.53
trn_193644,0,8,262,32,26,28,37,0.98,0.12,6.39
trn_193644,0,9,204,18,18,26,25,0.77,0.09,-92.8
trn_193644,0,10,103,11,12,16,13,0.94,0.11,-33.17
trn_193644,0,11,52,7,4,4,5,0.99,0.13,3.88
trn_193644,0,12,27,0,3,3,3,0.0,0.0,-27.0
trn_193644,0,13,4,0,1,0,0,0.0,0.0,-4.0
trn_117,0,3,2495,131,181,223,241,0.68,0.05,-1077.59
trn_117,0,4,1664,120,117,131,166,0.82,0.07,-520.95
trn_117,0,2,1601,80,102,104,162,0.79,0.05,-525.31
trn_117,0,5,1100,99,91,98,114,0.9,0.09,-140.95
trn_117,0,6,607,51,62,73,61,0.88,0.08,-184.18
trn_117,0,7,426,40,43,43,35,0.92,0.09,-110.42
trn_117,0,8,323,21,37,27,30,0.65,0.07,-110.5
trn_117,0,9,190,20,20,21,21,0.94,0.11,-14.12
trn_117,0,10,61,4,4,5,9,0.71,0.07,-23.38
trn_117,0,11,12,1,2,1,3,0.52,0.08,-1.0
trn_54981,0,8,165,22,16,18,23,1.03,0.13,-48.8
trn_54981,0,7,146,27,23,15,16,1.32,0.18,-2.23
trn_54981,0,9,145,16,11,18,12,0.91,0.11,-34.97
trn_54981,0,6,135,15,11,12,19,0.91,0.11,-49.09
trn_54981,0,5,128,11,10,20,19,0.89,0.09,-33.8
trn_54981,0,10,102,14,11,18,10,1.13,0.14,6.21
trn_54981,0,11,83,6,9,10,10,0.77,0.07,-30.7
trn_54981,0,12,72,7,12,6,8,0.95,0.1,55.5
trn_54981,0,4,61,1,7,8,2,0.21,0.02,-57.0
trn_54981,0,13,39,6,5,3,7,1.6,0.15,-0.5
trn_54981,0,3,17,1,1,1,2,0.68,0.06,-12.5
