owner_id,owner
own_1400724,Twos A Crowd
own_894552,Roger Yvonne Allsop
own_1104412,Meadvale Syndicate
own_1360728,J Hinds A Head G L Moore
own_1348300,The Belle Syndicate
own_140160,J R Lavelle
own_1326756,The Bull Boys
own_1203668,Green Hedges Racing
own_1202748,Graeme Brooks
own_678112,Yen Hall Farm Racing
own_1422652,The Mmi Partnership
own_1203556,Paul Nicholls John Bolton
own_1363508,Miss Amber Jackson Fennell
own_1203152,Mrs S J Easterby
own_101784,Bob Butler
own_1202912,Mrs P Todd
own_127988,Miss Sarah A Dawson
own_518160,I M Cobbold
own_651152,Brocade Racing
own_1400072,On The Gallops 1
own_587472,Chris Stedman
own_250700,Mrs H E Rees
own_72256,G F Edwards
own_1057464,Ryan G Chapman
own_1292204,Knightriders Iii
own_108952,Mrs M J Arnold
own_1294960,Havaila Partnership
own_931884,Brian Verinder Alan Baxter
own_1422640,Miss Philippa Downing
own_783288,Miss Daisy Hitchins
own_617936,Fawley House Stud
own_697628,Bradley Partnership
own_1009828,Olly Murphy Racing Club
own_909256,Mrs Sarah Mclean
own_1255516,C C Boultbee Brooks
own_1025664,P B T Armitage
own_68348,D V Gardner
own_519272,Mrs Carolyn Kendrick
own_1394388,One Too Many Syndicate
own_142652,S Wood
own_340896,The Cross Racing Club
own_1414752,Mrs Sarah Ling Partner
own_1359108,Sr Racing Ltd
own_70808,J P Selby
own_702816,Steve Atkinson
own_713972,Mr Mrs A J Mutch
own_1300096,Mike Wright Mrs C Scott
own_792224,The Lump Oclock Syndicate
own_737936,Chasing Gold Racing Club
own_471504,Ms Adrienne Gross
own_1290864,Mrs Jennifer Irish
own_1234316,Team Tristar Uk Ltd
own_1421040,Stephen Sugden And Helen Sugden
own_1229480,Gavigan Kennedy Sharp
own_932632,David Leon James Devine
own_684664,The Chicheley Partnership
own_109804,Allan Stennett
own_1296908,Rachel James
own_778008,Gerry Mcgladery
own_827592,S Grys M Oboyle
own_1042024,Mr Mrs A Millett
own_1394072,Character Testing Syndicate
own_1005300,Gallagher Bloodstock Limited
own_160680,D S Dennis
own_212544,Cockerell Cowing Racing
own_1076348,Dl Adams Ja Adams G Mcpherson
own_1365888,Dr Paul Kelly And Vernon Taylor
own_1400500,Baytree
own_1343800,Both Sides Of The Sea Syndicate
own_1372352,Exors Of The Late K W Bell
own_1360416,Raceshare   Golden Maverick
own_1410280,The Wilsons
own_1296628,Daviesgoviergovierocallaghanbrown
own_1240912,Mike Maggie Horton
own_1415288,Octavians V
own_159280,Duckhaven Stud
own_1079320,Michael Rembaum Michael Tuckey
own_1065016,Encore Racing
own_115284,J J May
own_1013244,Surefire Racing
own_960868,H J Jarvis Mrs P Jarvis
own_477180,The Secret Circle Racing Club
own_1347796,M Matthews S Hardman B Case
own_157508,Miss J C Blackwell
own_667708,Celtic Contractors Limited
own_1293796,The Backburner Syndicate
own_1412924,Ursa Major Partners
own_1332636,Ralph Leonard Barton
own_1266000,Will Simmons
own_1348780,Cavalry And Guards Racing
own_621976,William Bates
own_1352576,Bevis Houghton
own_224796,Les De La Haye
own_1207216,Sturminster Newton Building Supplies Ltd
own_1412420,J Preston And C Cox
own_1257448,Robert And Sandra Davenport
own_128476,Mrs Rosemary Gasson
own_1395096,Edmunds Racing Club
own_904388,Roger Teal
own_1360128,P J Vogt And Bryan Drew
own_1378316,G C Stevens And Mrs C Fry
own_982576,Andy Bell Fergus Lyons
own_950612,Neville Reid
own_816076,The Eton Ramblers
own_1408092,Savoy Developments And Mussell Evans
own_1411236,Ms Susan Evans
own_1422496,Price Walters Pearce Mcnally
own_1284948,Elizabeth Gifford And Bernice Walter
own_1419772,The One Eyed Squirrel Syndicate
own_352260,Mrs S M Trump
own_697220,S R Whistance
own_344236,Barry Baroness Noakes
own_1351260,Not One But Two
own_1339492,Vivid Racing
own_1265232,Jonathan Richard Dean Burnside
own_985256,West Racing Partnership
own_1075500,Glassex Holdings Ltd
own_1407832,Derrick Mayes
own_748756,Riverdee Stable
own_170744,Wayne Clifford
own_1422516,Chris Lane Alan King
own_1407700,Bien Pour Vous
own_1409328,The Adaay Dancing Partnership
own_1416980,Mrs Jane Batson
own_1023500,The Ipsden Invincibles
own_1407704,Owners Group 140
own_1232708,Aura Racing
own_1309348,Four Gents
own_1336224,Orbital Racing Group Miss E Donnelly
own_838420,Homecroft Wealth Racing
own_1189576,The Roaming Roosters
own_1074336,East India Racing
own_501120,The Reserved Judgment Partnership
own_898580,Sullivan Bloodstock Limited
own_389512,Mrs Diana L Whateley
own_407716,Century Racing
own_491720,R Kingston
own_51360,P J H Wills
own_1316660,Not Another One Partnership
own_199308,The Auld Alliance
own_1410656,E Murchan K Mcconnell A P Shaw
own_1406796,Oap Iv
own_1422520,Katies Legacy Syndicate
own_440288,Mrs Caroline Beresford Wylie
own_1019072,Mrs Fay Kempe
own_677628,T G Leslie
own_1300144,Cape Farming Bloodstock Limited
own_214452,Will Ramsay
own_1100956,Miss Lucy Brown
own_1132688,The Hope Springs Syndicate
own_1314684,The Salmon Family
own_1405444,Three Oaks A Rose And An Acorn
own_907568,The Cant Say No Partnership
own_1378628,Easy Parking Solutions Ltd
own_8040,Robert Kirkland
own_1312680,Foxtrot Racing Sound And Fury
own_1050664,Ashgill Stud
own_1070072,The Monday Club
own_824412,Mrs D W Davenport
own_848348,Dalwhinnie Bloodstock Limited
own_913768,West Loudoun Racing Club
own_1334284,Mrs I C Sellars And Miss D C Sellars
own_1372064,The Spotted Dick Partnership
own_1357996,Joanna Wellesley Nicola Turner
own_1037380,Ladies In Racing
own_869268,Bob Barrett
own_1242012,The Boondogglers
own_1405432,Moorland Racing Bill Ransom Steve Day
own_1349892,Gibson Annett And Mandle
own_1308280,Hargrove Parker Rafferty
own_749440,Fresh Start Partnership
own_902168,Mrs Robert Watson
own_90132,Ian Hamilton
own_1240888,Mrs Anne Dawson Partner
own_1011096,Dennis J Coppola Mrs Dianne Sayer
own_1364128,M Buckley A Speelman
own_508448,Mrs E J Wills
own_1368236,Anthony R Hunt Dan Leach
own_950920,Malcolm Olden
own_394576,The Large G T Partnership
own_1346700,Only Here For The Beer
own_1298064,Adams Graham Mcpherson
own_1242040,Poplar Cottage Racing Club
own_54632,Steve Mcintyre
own_1253708,Accurite Racing
own_1376988,Lynne Maclennan John J Murray
own_440616,Mrs A Ellis
own_1297024,Spinners Winners
own_864876,Andrew Phillips
own_1414668,G W Bell
