sire_id,sire
sir_4485327,September Storm
sir_3841789,Denham Red
sir_6343778,Crystal Ocean
sir_4700157,Hard Spun
sir_4124288,Sleeping Indian
sir_5112191,Skins Game
sir_552440,Smadoun
sir_4974025,Polarix
sir_3305358,Tertullian
sir_6127597,Poet's Word
sir_4746672,Davidoff
sir_4932725,Cardinal
sir_5602394,Ruler Of The World
sir_3962056,Elusive City
sir_6125175,Recorder
sir_6035659,Smooth Daddy
sir_4577188,Irish Wells
sir_5307008,Libranno
sir_4080405,Mustameet
sir_4205425,Fight Club
sir_18529882,Threat
sir_20979189,Kitkou
sir_4677001,Gris De Gris
sir_4077878,Alkaadhem
sir_3580248,Crillon
sir_4246690,Tirwanako
sir_5017348,Timos
sir_5677651,Olympic Glory
sir_4058915,Kheleyf
sir_6980897,Non Rien De Rien
sir_5895386,Altruistic
sir_5607987,Top Trip
sir_5799815,Finsceal Fior
sir_4509183,Boris De Deauville
sir_3849349,Where Or When
sir_5783946,Mustajeeb
sir_4607631,Prince Flori
sir_685027,Double Eclipse
sir_5128872,Aizavoski
sir_4270791,Mountain High
sir_5483324,Es Que Love
sir_5266135,Makfi
sir_3133088,Flying Legend
sir_3896522,Solskjaer
sir_7096999,Dschingis Secret
sir_5605250,Declaration Of War
sir_6057121,Elm Park
sir_4651955,Street Sense
sir_4260312,Nidor
sir_5460231,Foxwedge
sir_6234522,Guignol
sir_5601274,Magician
sir_4624088,Honolulu
sir_5532821,Amaron
sir_4123721,Day Flight
sir_3859268,Noroit
sir_7876211,Always Dreaming
sir_8111516,Al Wukair
sir_4348456,Primary
sir_5408942,Aiken
sir_12923176,Justify
sir_6913998,Peace Envoy
sir_3628212,Grand Finale
sir_5576417,Phenomena
sir_5126548,Frozen Power
sir_6014778,Dylan Mouth
sir_4605440,Cockney Rebel
sir_4507160,Darsi
sir_5765893,Voiladenuo
sir_4757515,Axxos
sir_4620973,Willywell
sir_4609528,Lauro
sir_5910856,Prince Gibraltar
sir_4840290,Spider Flight
sir_5238478,Recital
sir_2934036,Kirkwall
sir_6059060,Success Days
sir_546966,Protektor
sir_6318025,Desinvolte
sir_4224136,Rocamadour
sir_4206895,Malibu Moon
sir_4063976,Martillo
sir_3851603,Mr Dinos
sir_4181198,Cacique
sir_5467070,Fulbright
sir_4488778,Atlantic Waves
sir_5602807,Retirement Plan
sir_3333918,Dream Well
sir_3336389,Distorted Humor
sir_5858384,Supplicant
sir_5783883,Mahsoob
sir_4450614,Nicaron
sir_5638913,Gale Force Ten
sir_15355508,Omaha Beach
sir_4123938,Iktibas
sir_3775478,And Beyond
sir_4105640,Kotky Bleu
sir_3930262,Medaglia d'Oro
sir_5022934,Pioneerof The Nile
sir_5785311,Mizzou
sir_5699799,Mazameer
sir_4217493,Librettist
sir_6281849,Bucchero
sir_5770891,Protectionist
sir_3677058,Pierre
sir_5528215,Most Improved
sir_4871279,Masterofthehorse
sir_3295698,Rainbow High
sir_6311501,Isfahan
sir_4799585,Paco Boy
sir_6757982,Zelzal
sir_4586785,Financial Reward
sir_4509400,Stormy River
sir_4739469,Le Cadre Noir
sir_3662813,Olden Times
sir_4204263,Speightstown
sir_3956701,Indian Haven
sir_3207225,Central Park
sir_10350718,Mendelssohn
sir_5900692,Hurricane Red
sir_4782393,Gladiatorus
sir_7799582,Connect
sir_6009374,Hallowed Crown
sir_4943932,Intense Focus
sir_5206166,Bullet Train
sir_590611,Perugino
sir_6218716,Spill The Beans
sir_5535369,Very Nice Name
sir_4265415,The Carbon Unit
sir_4094377,Azamour
sir_4668839,Westlake
sir_4638529,Slickly Royal
sir_4627504,Spirit One
sir_3263337,Elusive Quality
sir_8867264,Centaurian
sir_4889178,Street Boss
sir_4502596,Salutino
sir_4085123,American Post
sir_6072605,Ito
sir_6135024,Palamoss
sir_5753146,Goldencents
sir_4595045,Lovelace
sir_6028554,Guiliani
sir_6071352,Scissor Kick
sir_3702986,Kallisto
sir_6125980,Ultra
sir_5472894,Parish Hall
sir_5431510,Dialed In
sir_3150539,Zamindar
sir_10504095,Barraquero
sir_5181610,Agent Secret
sir_4780916,Rio De La Plata
sir_4079782,Diamond Green
sir_740341,Grape Tree Road
sir_5475813,Lilbourne Lad
sir_3953992,Deportivo
sir_3763116,Denon
sir_5502973,Arrigo
sir_3301837,Fruits Of Love
sir_5287548,Worthadd
sir_5357702,Robin Du Nord
sir_5198676,Blame
sir_10246187,Hey Gaman
sir_4853737,Steele Tango
sir_3503556,Areion
sir_3585372,Bach
sir_14822794,Catalina Cruiser
sir_5150754,Dick Turpin
sir_4505578,Red Rocks
sir_4974011,On Est Bien
sir_7263403,Brametot
sir_6343750,Call To Mind
sir_5601358,Victory Song
sir_15537151,War Of Will
sir_15912477,Roman Candle
sir_7705152,Gunnevera
sir_4804170,Indian Daffodil
sir_6018775,Code Red
sir_4603018,Bernardini
sir_6279371,Iquitos
sir_4104331,Elvstroem
sir_17774519,Global Campaign
sir_6247780,Donjuan Triumphant
sir_18160114,Maximum Security
sir_8865465,Elarqam
sir_3522050,Lemon Drop Kid
sir_5135942,Arcano
sir_763784,Daylami
sir_5214524,Get Stormy
sir_8525545,Recoletos
sir_3499902,Orpen
sir_4161850,Barely A Moment
sir_3851638,Mamool
sir_3208429,Sagamix
sir_4796617,Aqlaam
sir_4165063,Tapit
sir_10222436,Beckford
sir_6060271,Chemical Charge
sir_6398616,Divine Prophet
sir_4002782,Vespone
sir_6304445,Mor Spirit
sir_19769379,Honor A. P.
sir_7121275,Taj Mahal
sir_4009166,Let The Lion Roar
sir_5605446,Summer Front
sir_4183823,Heart's Cry
sir_3920336,Choisir
sir_3548930,Sakhee
sir_4908645,Finjaan
sir_6204527,Air Force Blue
sir_4938073,Sri Putra
sir_4075512,Tiberius Caesar
sir_6077834,Luck Of The Kitten
sir_3723811,Panis
sir_3503136,Laveron
sir_5671519,Tamarkuz
sir_6093003,Carpe Diem
sir_8068914,Accelerate
sir_5758557,Palace Malice
sir_5163571,Vale Of York
sir_15854629,Complexity
sir_591024,King's Theatre
sir_12641769,Wusool
sir_4954985,Silver Frost
sir_7323316,Classic Empire
sir_11274949,Bolt D'Oro
sir_5306966,Approve
sir_5901679,Eagle Top
sir_3697442,Medicean
sir_4797779,Americain
sir_3848530,Della Francesca
sir_4863383,Mawatheeq
sir_6279315,Qurbaan
sir_10170335,Fighting Irish
sir_5380179,Uncle Mo
sir_5622428,Gimmethegreenlight
sir_11646712,Yorkton
sir_5352592,Danadana
sir_3257660,Ungaro
sir_4078998,Whipper
sir_8010352,Not This Time
sir_6327363,Flying Artie
sir_4044460,Forestier
sir_6205920,Duramente
sir_5145945,Xtension
sir_6164935,Divisidero
sir_6045081,De Treville
sir_5767636,Violence
sir_4551799,Arabian Gleam
sir_4928553,Lord Shanakill
sir_764127,Intikhab
sir_11646761,Mr Boycie Quest
sir_3548440,Subtle Power
sir_6046719,Strath Burn
sir_5821935,Better Than Ready
sir_3723636,Anzillero
sir_9629494,Cloud Computing
sir_10018386,West Coast
sir_5007611,Midshipman
sir_6339158,Collected
sir_4109077,Flatter
