damsire_id,damsire
dsi_3686886,Modigliani
dsi_3294893,Daggers Drawn
dsi_5800319,Fountain Of Youth
dsi_5063387,Air Chief Marshal
dsi_628012,Brocco
dsi_4763318,Saint Anddan
dsi_161686,Jurado
dsi_675864,Pennekamp
dsi_2132053,Gulch
dsi_3775478,And Beyond
dsi_4077878,Alkaadhem
dsi_512379,Son Of Sharp Shot
dsi_2118809,Welsh Term
dsi_772562,Alphabet Soup
dsi_330498,Zilzal
dsi_505316,Apple Tree
dsi_4128446,Notnowcato
dsi_3312379,St Jovite
dsi_161056,Safety Catch
dsi_3325686,River Mist
dsi_5010166,Buck's Boum
dsi_360773,Sovereign Water
dsi_4452693,Deep Impact
dsi_2108281,Irish River
dsi_541877,Kadastrof
dsi_2104522,Dom Pasquini
dsi_4848690,It's Gino
dsi_380786,Deploy
dsi_3225866,Fado
dsi_3963078,Country Reel
dsi_3136686,Largesse
dsi_4234013,Bellamy Road
dsi_3877699,Harlan's Holiday
dsi_672532,Atticus
dsi_3207302,Courteous
dsi_2126922,Alphabatim
dsi_4548635,Spanish Moon
dsi_292663,Fijar Tango
dsi_3378557,Cosmonaut
dsi_3028928,Royal Anthem
dsi_3857210,Bandari
dsi_3686844,Black Minnaloushe
dsi_84497,Charmer
dsi_4052167,Prince Kirk
dsi_3660062,Saddler Maker
dsi_2109044,Kris
dsi_6257503,Ribchester
dsi_3496080,Martino Alonso
dsi_5302829,Roderic O'Connor
dsi_2126257,Shardari
dsi_41559,Gold Dust I
dsi_634193,Taipan
dsi_3153262,Desert Story
dsi_2131878,Keen
dsi_3662813,Olden Times
dsi_2136827,Synefos
dsi_4200735,Bonbon Rose
dsi_447916,Sillery
dsi_3748654,Anabaa Blue
dsi_553315,Kingmambo
dsi_4108776,Reefscape
dsi_3577644,Rossini
dsi_3981075,Alamshar
dsi_3766357,Falbrav
dsi_3270050,King Of Kings
dsi_4506089,Hurricane Cat
dsi_383782,Comte Du Bourg
dsi_2101540,Beaudelaire
dsi_3706829,Chichicastenango
dsi_4048933,Danbird
dsi_5528215,Most Improved
dsi_3573682,Danzero
dsi_3414852,Mujahid
dsi_4794713,First Defence
dsi_3938431,Hold That Tiger
dsi_4050599,One Cool Cat
dsi_425817,Mukaddamah
dsi_3220098,Saint Ballado
dsi_3339483,Tiraaz
dsi_686308,Nononito
dsi_4181667,Mister Sacha
dsi_5551420,Masterstroke
dsi_471135,True Brave
dsi_757491,Ashkalani
dsi_3707991,Mozart
dsi_3892441,Sulamani
dsi_299999,Valanjou I
dsi_2107546,Henbit
dsi_3502331,Josr Algarhoud
dsi_4924724,Blue Bresil
dsi_432558,Balleroy
dsi_160489,Little Bighorn
dsi_4224857,Echo Of Light
dsi_3135811,Indian Rocket
dsi_3717126,Pyrus
dsi_6026909,Ivawood
dsi_4812647,Pomellato
dsi_3341499,Roli Abi
dsi_633724,Pilsudski
dsi_2117353,Teenoso
dsi_3625874,High Yield
dsi_151354,Double Bed
dsi_3257793,Visionary
dsi_4234062,Early March
dsi_3571638,Amilynx
dsi_3119606,Quws
dsi_3220112,Zabeel
dsi_510818,Dernier Empereur
dsi_3762612,Maille Pistol
dsi_3989832,Vindication
dsi_2104116,Darshaan
dsi_4240572,Silent Name
dsi_5483345,Lethal Force
dsi_4097646,Apsis
dsi_676053,Goldmark
dsi_2112803,Perrault
dsi_3807587,Arvico
dsi_2100336,Alleged
dsi_2133775,Hubbly Bubbly
dsi_2786,Moon Madness
dsi_2125067,Montelimar
dsi_91560,Insan
dsi_4688159,Coastal Path
dsi_3594262,Barathea Guest
dsi_3583538,Chef De Clan
dsi_4476528,Aussie Rules
dsi_595833,Siam
dsi_583856,Jeune Homme
dsi_588196,Bigstone
dsi_759374,Spinning World
dsi_3710721,King Charlemagne
dsi_3736943,Equerry
dsi_3699766,Fusaichi Pegasus
dsi_627389,Moonax
dsi_463834,Dreams End
dsi_2135945,Gone Fishin
dsi_495558,Chief Honcho
dsi_739053,Langfuhr
dsi_3361029,Urban Ocean
dsi_3953992,Deportivo
dsi_3761534,Momentum
dsi_407869,Emperor Fountain
dsi_3268594,Touch Gold
dsi_4700157,Hard Spun
dsi_4189871,Smarty Jones
dsi_3652502,Forest Wildcat
dsi_342755,Elmaamul
dsi_3492139,Saffron Walden
dsi_3636899,Traditionally
dsi_2124682,Argument
dsi_4677001,Gris De Gris
dsi_715260,Cayman Kai
dsi_149814,Common Grounds
dsi_4485502,Youmzain
dsi_5860085,Cable Bay
dsi_2113790,Rahotep I
dsi_4944793,Kamsin
dsi_439215,Northern Park
dsi_3648771,Polish Summer
dsi_568596,Sin Kiang
dsi_2125802,Lashkari
dsi_2111613,Nicholas Bill
dsi_153713,Lesotho
dsi_4739469,Le Cadre Noir
dsi_3930213,Sunday Break
dsi_3840613,Sabiango
dsi_3123764,Helissio
dsi_5892096,Hot Streak
dsi_3983049,Perfect Soul
dsi_4609528,Lauro
dsi_3278499,Lucky Dream I
